n_vars,D,rows,cols,threads,repeat,impl,time_ms,rank,nnz_before,density_before,nnz_after,density_after,fillin_ratio,checksum,correct
4,4,60,70,1,3,serial,0.137800,54,600,0.142857143,1442,0.343333333,2.403333333,9770094083122144092,true
4,4,60,70,1,3,openmp,0.156900,54,600,0.142857143,1442,0.343333333,2.403333333,9770094083122144092,true
4,4,60,70,4,3,openmp,0.422100,54,600,0.142857143,1442,0.343333333,2.403333333,9770094083122144092,true
4,4,60,70,8,3,openmp,0.172800,54,600,0.142857143,1442,0.343333333,2.403333333,9770094083122144092,true
4,4,60,70,16,3,openmp,0.575700,54,600,0.142857143,1442,0.343333333,2.403333333,9770094083122144092,true
4,5,140,126,1,3,serial,0.242400,110,1400,0.079365079,3815,0.216269841,2.725000000,4810328301486940816,true
4,5,140,126,1,3,openmp,0.260500,110,1400,0.079365079,3815,0.216269841,2.725000000,4810328301486940816,true
4,5,140,126,4,3,openmp,0.334300,110,1400,0.079365079,3815,0.216269841,2.725000000,4810328301486940816,true
4,5,140,126,8,3,openmp,0.724500,110,1400,0.079365079,3815,0.216269841,2.725000000,4810328301486940816,true
4,5,140,126,16,3,openmp,3.043200,110,1400,0.079365079,3815,0.216269841,2.725000000,4810328301486940816,true
5,5,280,252,1,3,serial,1.433900,220,3360,0.047619048,14000,0.198412698,4.166666667,18330207573402653043,true
5,5,280,252,1,3,openmp,1.624800,220,3360,0.047619048,14000,0.198412698,4.166666667,18330207573402653043,true
5,5,280,252,4,3,openmp,1.141700,220,3360,0.047619048,14000,0.198412698,4.166666667,18330207573402653043,true
5,5,280,252,8,3,openmp,1.727200,220,3360,0.047619048,14000,0.198412698,4.166666667,18330207573402653043,true
5,5,280,252,16,3,openmp,2.566000,220,3360,0.047619048,14000,0.198412698,4.166666667,18330207573402653043,true
5,6,630,462,1,3,serial,8.875000,430,7560,0.025974026,39456,0.135559678,5.219047619,1083939697503428769,true
5,6,630,462,1,3,openmp,9.250900,430,7560,0.025974026,39456,0.135559678,5.219047619,1083939697503428769,true
5,6,630,462,4,3,openmp,4.766800,430,7560,0.025974026,39456,0.135559678,5.219047619,1083939697503428769,true
5,6,630,462,8,3,openmp,7.768500,430,7560,0.025974026,39456,0.135559678,5.219047619,1083939697503428769,true
5,6,630,462,16,3,openmp,7.673600,430,7560,0.025974026,39456,0.135559678,5.219047619,1083939697503428769,true
6,6,1260,924,1,3,serial,62.533700,860,17640,0.015151515,153359,0.131724559,8.693820862,2981887666419696466,true
6,6,1260,924,1,3,openmp,57.998800,860,17640,0.015151515,153359,0.131724559,8.693820862,2981887666419696466,true
6,6,1260,924,4,3,openmp,29.330400,860,17640,0.015151515,153359,0.131724559,8.693820862,2981887666419696466,true
6,6,1260,924,8,3,openmp,32.452900,860,17640,0.015151515,153359,0.131724559,8.693820862,2981887666419696466,true
6,6,1260,924,16,3,openmp,66.858700,860,17640,0.015151515,153359,0.131724559,8.693820862,2981887666419696466,true
6,7,2772,1716,1,3,serial,435.077600,1652,38808,0.008158508,455326,0.095722039,11.732787054,11635653798661324750,true
6,7,2772,1716,1,3,openmp,411.115600,1652,38808,0.008158508,455326,0.095722039,11.732787054,11635653798661324750,true
6,7,2772,1716,4,3,openmp,174.942000,1652,38808,0.008158508,455326,0.095722039,11.732787054,11635653798661324750,true
6,7,2772,1716,8,3,openmp,430.217700,1652,38808,0.008158508,455326,0.095722039,11.732787054,11635653798661324750,true
6,7,2772,1716,16,3,openmp,239.675100,1652,38808,0.008158508,455326,0.095722039,11.732787054,11635653798661324750,true
